"name","description","is_fixed","rule","country","created_at"
"Festival of Sleep Day","Ein inoffizieller Aktionstag, der dazu einlädt, sich nach dem Stress der Feiertage auszuschlafen und zu entspannen.","true","{""day"": 3, ""month"": 1}","INT","2026-01-14 17:36:29.78668+01"
"Fruitcake Toss Day","Ein humorvoller Tag, an dem ungeliebte Reste des traditionellen Weihnachtskuchens (Fruitcake) ""entsorgt"" oder geworfen werden.","true","{""day"": 3, ""month"": 1}","US","2026-01-14 17:36:29.78668+01"
"Bitcoin Genesis Block Day","Technologie-Jahrestag: Am 3. Januar 2009 schuf Satoshi Nakamoto den ersten Block der Bitcoin-Blockchain.","true","{""day"": 3, ""month"": 1}","INT","2026-01-14 17:36:29.78668+01"
"Welt-Braille-Tag","Gedenktag zu Ehren von Louis Braille und der Bedeutung der Brailleschrift für blinde und sehbehinderte Menschen.","true","{""day"": 4, ""month"": 1}","INT","2026-01-14 17:37:01.889749+01"
"Isaac-Newton-Tag","Geburtstag des Begründers der klassischen Mechanik Isaac Newton im Jahr 1643.","true","{""day"": 4, ""month"": 1}","INT","2026-01-14 17:37:01.889749+01"
"Unabhängigkeitstag Myanmars","Nationalfeiertag zur Erinnerung an die Unabhängigkeit von der britischen Kolonialherrschaft im Jahr 1948.","true","{""day"": 4, ""month"": 1}","MM","2026-01-14 17:37:01.889749+01"
"Tag des unnützen Wissens (Trivia Day)","Ein Tag für alle, die gerne Quizze spielen und kuriose Fakten sammeln.","true","{""day"": 4, ""month"": 1}","US","2026-01-14 17:37:01.889749+01"
"Tag der Spaghetti","Kulinarischer Aktionstag zu Ehren einer der beliebtesten Nudelsorten weltweit.","true","{""day"": 4, ""month"": 1}","INT","2026-01-14 17:37:01.889749+01"
"Twelfth Night","Der Vorabend des Dreikönigsfestes markiert traditionell das Ende der Weihnachtszeit und das Abschmücken des Weihnachtsbaums.","true","{""day"": 5, ""month"": 1}","INT","2026-01-14 17:37:35.637183+01"
"National Bird Day","Ein Aktionstag zur Förderung des Schutzes wildlebender Vögel und zur Aufklärung über die Haltung von Vögeln in Gefangenschaft.","true","{""day"": 5, ""month"": 1}","US","2026-01-14 17:37:35.637183+01"
"Gründung der DAP","Historischer Jahrestag: 1919 gründete Anton Drexler in München die Deutsche Arbeiterpartei, die Vorläuferorganisation der NSDAP.","true","{""day"": 5, ""month"": 1}","DE","2026-01-14 17:37:35.637183+01"
"Tag der Schlagsahne","Kulinarischer Gedenktag zu Ehren von Aaron ""Bunny"" Lapin, dem Erfinder der Sprühsahne (Reddi-wip), der an diesem Tag geboren wurde.","true","{""day"": 5, ""month"": 1}","US","2026-01-14 17:37:35.637183+01"
"Tag des Zahnarztes","Ein Tag zur Wertschätzung der zahnmedizinischen Gesundheitsvorsorge.","true","{""day"": 6, ""month"": 3}","INT","2026-01-14 21:07:11.265212+01"
"Alamo-Gedenktag","Erinnerung an den Fall der Mission Alamo am 6. März 1836 während der Texanischen Revolution.","true","{""day"": 6, ""month"": 3}","US-TX","2026-01-14 21:07:11.265212+01"
"Tag des weißen Schokoladen-Käsekuchens","Ein kulinarischer Feiertag für Liebhaber von weißer Schokolade und Cheesecake.","true","{""day"": 6, ""month"": 3}","US","2026-01-14 21:07:11.265212+01"
"Tag des U-Boots","Inoffizieller Aktionstag rund um Unterseeboote, oft mit John Philip Holland und der Entwicklung moderner U-Boote verbunden.","true","{""day"": 17, ""month"": 3}","INT","2026-01-14 21:20:51.535086+01"
"Tag der Drehbuchautoren","Internationaler Tag zur Anerkennung der kreativen Köpfe hinter Film- und Fernsehmanuskripten.","true","{""day"": 5, ""month"": 1}","INT","2026-01-14 17:37:35.637183+01"
"Heilige Drei Könige","Fest der Erscheinung des Herrn; gesetzlicher Feiertag in BW, BY und ST. Markiert den Besuch der Weisen aus dem Morgenland.","true","{""day"": 6, ""month"": 1}","DE","2026-01-14 17:38:16.032728+01"
"Epiphanias","Eines der ältesten christlichen Feste; in Ländern wie Spanien (Reyes Magos) oder Italien (Befana) zentraler Geschenktag.","true","{""day"": 6, ""month"": 1}","INT","2026-01-14 17:38:16.032728+01"
"Dreikönigstag (Karnevalsbeginn)","In der schwäbisch-alemannischen Fasnet traditioneller Termin zum ""Abstauben"" der Masken und Beginn der Saalfasnacht.","true","{""day"": 6, ""month"": 1}","DE","2026-01-14 17:38:16.032728+01"
"Tag des Kuschelns","Ein US-amerikanischer Aktionstag, der dazu einlädt, die Kälte des Januars durch menschliche Nähe zu überbrücken.","true","{""day"": 6, ""month"": 1}","US","2026-01-14 17:38:16.032728+01"
"Tag der Technik","Aktionstag zur Anerkennung technologischer Fortschritte und deren Einfluss auf den Alltag.","true","{""day"": 6, ""month"": 1}","INT","2026-01-14 17:38:16.032728+01"
"Orthodoxe Weihnachten","Feier der Geburt Christi nach dem julianischen Kalender (u.a. in Russland, Serbien, Georgien und Ägypten).","true","{""day"": 7, ""month"": 1}","INT","2026-01-14 17:38:59.088139+01"
"St. Distaff’s Day","Traditioneller englischer Gedenktag: Der Tag nach Epiphanias markiert das Ende der Weihnachtsruhe und die Rückkehr der Frauen an das Spinnrad.","true","{""day"": 7, ""month"": 1}","UK","2026-01-14 17:38:59.088139+01"
"Festa del Tricolore","Nationaler Gedenktag zur Feier der Entstehung der italienischen Flagge im Jahr 1797.","true","{""day"": 7, ""month"": 1}","IT","2026-01-14 17:38:59.088139+01"
"Alternativtermin für Tag des Programmierers","Alternativtermin, der in manchen Kalendern für Tag des Programmierers geführt wird.","true","{""day"": 7, ""month"": 1}","RU","2026-01-14 17:38:59.088139+01"
"Tag des Tempura","Ein kulinarischer Aktionstag zu Ehren der japanischen Frittiermethode, die ursprünglich von portugiesischen Missionaren eingeführt wurde.","true","{""day"": 7, ""month"": 1}","US","2026-01-14 17:38:59.088139+01"
"Elvis-Presley-Tag","Geburtstag des ""King of Rock 'n' Roll"" (1935). Ein zentrales Datum für Fans weltweit, besonders in Memphis (Graceland).","true","{""day"": 8, ""month"": 1}","INT","2026-01-14 17:39:25.455896+01"
"David-Bowie-Tag","Geburtstag der Musik-Ikone (1947). Fans feiern das Leben des ""Thin White Duke"" und seine Wandlungsfähigkeit.","true","{""day"": 8, ""month"": 1}","INT","2026-01-14 17:39:25.455896+01"
"Gründungstag des ANC","Historischer Jahrestag: 1912 wurde der South African Native National Congress gegründet, die spätere Regierungspartei ANC unter Nelson Mandela.","true","{""day"": 8, ""month"": 1}","ZA","2026-01-14 17:39:25.455896+01"
"Tag des Schaumbads","Ein herrlich entspannender Aktionstag, der dazu einlädt, sich im kalten Januar ein warmes Bad zu gönnen.","true","{""day"": 8, ""month"": 1}","US","2026-01-14 17:39:25.455896+01"
"Tag des Tippens","Ein Tag zur Förderung von Schreibgeschwindigkeit und Effizienz an Tastaturen, ursprünglich in Malaysia initiiert.","true","{""day"": 8, ""month"": 1}","INT","2026-01-14 17:39:25.455896+01"
"Tag der Märtyrer","Nationaler Trauer- und Gedenktag in Panama zur Erinnerung an die Unruhen von 1964 um die Souveränität des Panamakanals.","true","{""day"": 9, ""month"": 1}","PA","2026-01-14 17:40:06.387487+01"
"iPhone Day","Technologie-Jahrestag: Am 9. Januar 2007 stellte Steve Jobs auf der Macworld das erste iPhone vor und revolutionierte den Mobilfunkmarkt.","true","{""day"": 9, ""month"": 1}","INT","2026-01-14 17:40:06.387487+01"
"Tag der Statik","Ein Aktionstag, der die Bedeutung der Tragwerksplanung und Baustatik für sichere Gebäude hervorhebt.","true","{""day"": 9, ""month"": 1}","DE","2026-01-14 17:40:06.387487+01"
"Tag der Aprikose","Ein kulinarischer Aktionstag, der die gesunden Eigenschaften der vitaminreichen Steinfrucht feiert.","true","{""day"": 9, ""month"": 1}","US","2026-01-14 17:40:06.387487+01"
"National Balloon Ascension Day","Gedenktag an die erste bemannte Ballonfahrt in Amerika durch Jean-Pierre Blanchard im Jahr 1793.","true","{""day"": 9, ""month"": 1}","US","2026-01-14 17:40:06.387487+01"
"Tag der ersten UN-Vollversammlung","Gedenktag an das erste Treffen der UN-Vollversammlung 1946 in London mit Vertretern aus 51 Nationen.","true","{""day"": 10, ""month"": 1}","INT","2026-01-14 17:40:50.135156+01"
"Tag der London Underground","Jahrestag der Inbetriebnahme der Metropolitan Railway im Jahr 1863 – die Geburtsstunde der modernen U-Bahn.","true","{""day"": 10, ""month"": 1}","UK","2026-01-14 17:40:50.135156+01"
"Tag der Zimmerpflanze","Ein Aktionstag, der dazu einlädt, das Raumklima durch Grünpflanzen zu verbessern und die Pflege der eigenen Pflanzen zu feiern.","true","{""day"": 10, ""month"": 1}","INT","2026-01-14 17:40:50.135156+01"
"Tag der Bitterschokolade","Ein kulinarischer Tag zu Ehren der dunklen Schokolade und ihrer gesundheitsfördernden Eigenschaften.","true","{""day"": 10, ""month"": 1}","US","2026-01-14 17:40:50.135156+01"
"Rod-Stewart-Tag","Geburtstag des britischen Rock- und Pop-Sängers (1945), bekannt für seine markante raue Stimme.","true","{""day"": 10, ""month"": 1}","INT","2026-01-14 17:40:50.135156+01"
"Internationaler Dankeschön-Tag","Ein Tag, um die Bedeutung eines ehrlichen ""Danke"" im Alltag zu betonen und Mitmenschen Wertschätzung zu zeigen.","true","{""day"": 11, ""month"": 1}","INT","2026-01-14 17:41:21.264538+01"
"Tag des deutschen Apfels","Aktionstag der deutschen Obstzeuger, um auf die Qualität und Sortenvielfalt heimischer Äpfel aufmerksam zu machen.","true","{""day"": 11, ""month"": 1}","DE","2026-01-14 17:41:21.264538+01"
"Tag gegen Menschenhandel","Gedenktag zur Sensibilisierung für die Problematik des modernen Menschenhandels und zum Schutz der Opfer.","true","{""day"": 11, ""month"": 1}","US","2026-01-14 17:41:21.264538+01"
"Guantanamo-Jahrestag","Politischer Gedenktag: Am 11. Januar 2002 kamen die ersten Gefangenen im US-Lager auf Kuba an; oft Anlass für Proteste.","true","{""day"": 11, ""month"": 1}","INT","2026-01-14 17:41:21.264538+01"
"Tag des Milchmanns","Erinnert an die erste Auslieferung von Milch in Glasflaschen im Jahr 1878 durch Alexander Campbell in New York.","true","{""day"": 11, ""month"": 1}","US","2026-01-14 17:41:21.264538+01"
"Gedenktag des Erdbebens von 2010","Nationaler Gedenktag zur Erinnerung an das verheerende Erdbeben in Haiti im Jahr 2010.","true","{""day"": 12, ""month"": 1}","HT","2026-01-14 17:41:58.559807+01"
"Tag des Marzipans","Ein kulinarischer Aktionstag zu Ehren der Süßware aus Mandeln und Zucker, die besonders in Lübeck Tradition hat.","true","{""day"": 12, ""month"": 1}","INT","2026-01-14 17:41:58.559807+01"
"Jack-London-Tag","Geburtstag des US-Schriftstellers (1876), berühmt für Abenteuerromane wie ""Ruf der Wildnis"" und ""Wolfsblut"".","true","{""day"": 12, ""month"": 1}","INT","2026-01-14 17:41:58.559807+01"
"Tag der ersten Radiosendung","Jahrestag der ersten öffentlichen Rundfunkübertragung durch Lee De Forest vom Eiffelturm im Jahr 1908.","true","{""day"": 12, ""month"": 1}","INT","2026-01-14 17:41:58.559807+01"
"Halte-deine-Vorsätze-ein-Tag","Ein Motivations-Tag, der Menschen dazu ermutigt, ihre Neujahrsvorsätze trotz erster Schwierigkeiten weiterzuverfolgen.","true","{""day"": 12, ""month"": 1}","INT","2026-01-14 17:41:58.559807+01"
"St.-Knuts-Tag","Traditioneller Abschluss der Weihnachtszeit in Schweden, Norwegen und Finnland; der Weihnachtsbaum wird aus dem Fenster geworfen.","true","{""day"": 13, ""month"": 1}","SE","2026-01-14 17:42:30.160098+01"
"Tag der Skeptiker","Ein Tag, um kritisches Denken zu fördern und Behauptungen ohne wissenschaftliche Beweise zu hinterfragen.","true","{""day"": 13, ""month"": 1}","INT","2026-01-14 17:42:30.160098+01"
"Tag der Verteidiger der Freiheit","Nationaler Gedenktag in Litauen zur Erinnerung an die Ereignisse von 1991 am Fernsehturm in Vilnius.","true","{""day"": 13, ""month"": 1}","LT","2026-01-14 17:42:30.160098+01"
"Tag des Aufklebers","Gedenktag zu Ehren von R. Stanton Avery, dem Erfinder des selbstklebenden Etiketts, der an diesem Tag geboren wurde.","true","{""day"": 13, ""month"": 1}","US","2026-01-14 17:42:30.160098+01"
"Tag der Quitte","Ein kulinarischer Aktionstag, der die vielseitige, aber oft unterschätzte Winterfrucht in den Fokus rückt.","true","{""day"": 13, ""month"": 1}","DE","2026-01-14 17:42:30.160098+01"
"Wikipedia-Tag","Jahrestag der Online-Schaltung von Wikipedia im Jahr 2001 durch Jimmy Wales und Larry Sanger.","true","{""day"": 15, ""month"": 1}","INT","2026-01-14 17:44:27.167771+01"
"Geburtstag von Martin Luther King Jr.","Erinnerung an den Geburtstag des US-Bürgerrechtlers Martin Luther King Jr. im Jahr 1929.","true","{""day"": 15, ""month"": 1}","US","2026-01-14 17:44:27.167771+01"
"Tag des Erdbeereis","Ein kulinarischer Aktionstag, der – trotz winterlicher Temperaturen – eine der beliebtesten Eissorten feiert.","true","{""day"": 15, ""month"": 1}","US","2026-01-14 17:44:27.167771+01"
"Tag des Hutes","Ein modischer Aktionstag, der die Vielfalt an Kopfbedeckungen von der Melone bis zum Zylinder zelebriert.","true","{""day"": 15, ""month"": 1}","INT","2026-01-14 17:44:27.167771+01"
"Eröffnung des British Museum","Historischer Jahrestag: 1759 öffnete das British Museum in London erstmals seine Pforten für die Öffentlichkeit.","true","{""day"": 15, ""month"": 1}","UK","2026-01-14 17:44:27.167771+01"
"World Beatles Day","Gedenktag zur Eröffnung des Cavern Club in Liverpool (1957), der Geburtsstätte der Beatles.","true","{""day"": 16, ""month"": 1}","INT","2026-01-14 17:45:02.908261+01"
"Tag der Religionsfreiheit","Erinnert an die Verabschiedung des Virginia Statute for Religious Freedom durch Thomas Jefferson im Jahr 1786.","true","{""day"": 16, ""month"": 1}","US","2026-01-14 17:45:02.908261+01"
"Beginn der Prohibition","Jahrestag der Ratifizierung des 18. Zusatzartikels im Jahr 1919, der das Alkoholverbot in den USA einleitete.","true","{""day"": 16, ""month"": 1}","US","2026-01-14 17:45:02.908261+01"
"Tag des Drachensteigens","In vielen Ländern ein Tag, um die windigen Januartage für das Steigenlassen von Drachen zu nutzen.","true","{""day"": 16, ""month"": 1}","INT","2026-01-14 17:45:02.908261+01"
"Tag des scharfen Essens","Kulinarischer Aktionstag, der Gerichte mit Chili, Curry und anderen scharfen Gewürzen zelebriert.","true","{""day"": 16, ""month"": 1}","INT","2026-01-14 17:45:02.908261+01"
"Benjamin-Franklin-Tag","Geburtstag des US-Gründervaters, Erfinders (Blitzableiter) und Naturwissenschaftlers (1706).","true","{""day"": 17, ""month"": 1}","US","2026-01-14 17:45:46.524454+01"
"Wir-werfen-unsere-Vorsätze-über-Bord-Tag","Ein humorvoller Aktionstag für alle, die ihre Neujahrsvorsätze bereits nach zwei Wochen aufgegeben haben.","true","{""day"": 17, ""month"": 1}","INT","2026-01-14 17:45:46.524454+01"
"Gedenktag des Heiligen Antonius","Festtag des Schutzpatrons der Haustiere; in vielen katholischen Regionen werden an diesem Tag Tiere gesegnet.","true","{""day"": 17, ""month"": 1}","INT","2026-01-14 17:45:46.524454+01"
"Tag des modernen Automobils","Historischer Jahrestag: 1891 wurde das erste Patent für das Automobil in den USA an George B. Selden erteilt.","true","{""day"": 17, ""month"": 1}","US","2026-01-14 17:45:46.524454+01"
"Welttag der italienischen Küche","Internationaler Aktionstag zum Schutz der authentischen italienischen Gastronomie gegen kulinarische Fälschungen.","true","{""day"": 17, ""month"": 1}","INT","2026-01-14 17:45:46.524454+01"
"National Shop for Travel Day","Aktionstag, der vom US-Reisetechnologieverband initiiert wurde, um an die Wichtigkeit der Reiseplanung zu erinnern.","false","{""month"": 1, ""occurrence"": [2], ""day_of_week"": ""Tuesday""}","US","2026-01-14 17:49:48.583947+01"
"Tag der Märtyrer","Nationaler Gedenktag in Panama zur Erinnerung an die Unruhen von 1964 um die Souveränität des Panamakanals.","true","{""day"": 13, ""month"": 1}","PA","2026-01-14 17:49:48.583947+01"
"iPhone Day","Jahrestag der Vorstellung des ersten iPhones durch Steve Jobs im Jahr 2007.","true","{""day"": 13, ""month"": 1}","INT","2026-01-14 17:49:48.583947+01"
"Tag der Statik","Ein Aktionstag, der die Bedeutung der Tragwerksplanung und Baustatik für sichere Gebäude hervorhebt.","true","{""day"": 13, ""month"": 1}","DE","2026-01-14 17:49:48.583947+01"
"Welttag der Logik","Von der UNESCO proklamierter Tag zur Förderung der intellektuellen Geschichte und praktischen Bedeutung der Logik.","true","{""day"": 14, ""month"": 1}","INT","2026-01-14 17:53:34.914958+01"
"Tag des frisch gepressten Saftes","Aktionstag zur Förderung einer gesunden Ernährung mit frisch gepressten Obst- und Gemüsesäften.","true","{""day"": 15, ""month"": 1}","US","2026-01-14 17:54:29.497508+01"
"Tag des Nichts","1973 vom Journalisten Harold Pullman Coffin vorgeschlagen, um einen Tag ohne Feiern, Gedenken oder Arbeit zu haben.","true","{""day"": 16, ""month"": 1}","US","2026-01-14 17:56:02.225306+01"
"Tag der jungen Erfinder","Wird zu Ehren von Benjamin Franklins Geburtstag gefeiert, um die Kreativität von Kindern zu fördern.","true","{""day"": 17, ""month"": 1}","INT","2026-01-14 17:56:51.431279+01"
"Winnie-Puuh-Tag","Geburtstag des Autors A.A. Milne (1882). Fans weltweit feiern den Honig liebenden Bären und seine Freunde aus dem Hundertmorgenwald.","true","{""day"": 18, ""month"": 1}","INT","2026-01-14 17:57:31.566543+01"
"Welttag des Schneemanns","Die Form der ""8"" ähnelt einem Schneemann, daher wurde dieser Tag gewählt, um die Freude an der Winterfigur zu feiern.","true","{""day"": 18, ""month"": 1}","INT","2026-01-14 17:57:31.566543+01"
"Reichsgründungstag","Historischer Jahrestag: 1871 wurde Wilhelm I. im Spiegelsaal von Versailles zum deutschen Kaiser proklamiert.","true","{""day"": 18, ""month"": 1}","DE","2026-01-14 17:57:31.566543+01"
"Tag der Peking-Ente","Ein kulinarischer Aktionstag zu Ehren des berühmten chinesischen Gerichts, das für seine knusprige Haut bekannt ist.","true","{""day"": 18, ""month"": 1}","US","2026-01-14 17:57:31.566543+01"
"Thesaurus-Tag","Geburtstag von Peter Mark Roget (1779), dem Erfinder des modernen Thesaurus; ein Tag für Wortgewalt und Synonyme.","true","{""day"": 18, ""month"": 1}","INT","2026-01-14 17:57:31.566543+01"
"Martin Luther King Jr. Day","US-Gedenktag zu Ehren des Bürgerrechtlers Martin Luther King Jr.","false","{""month"": 1, ""occurrence"": [3], ""day_of_week"": ""Monday""}","US","2026-01-14 17:58:06.205698+01"
"Edgar-Allan-Poe-Tag","Geburtstag des Meisters des Unheimlichen (1809). Bekannt für Werke wie ""Der Rabe"" und seine Pionierarbeit in der Kriminalliteratur.","true","{""day"": 14, ""month"": 1}","INT","2026-01-14 17:58:06.205698+01"
"Tag des Popcorns","Ein kulinarischer Aktionstag, der den beliebtesten Kino-Snack in all seinen Variationen feiert.","true","{""day"": 19, ""month"": 1}","INT","2026-01-14 17:58:06.205698+01"
"Tag der Konservendose","Erinnert an die Patentierung des ersten Verfahrens zur Konservierung von Lebensmitteln in Blechdosen im Jahr 1825.","true","{""day"": 19, ""month"": 1}","US","2026-01-14 17:58:06.205698+01"
"Blue Monday","Gilt statistisch als der deprimierendste Tag des Jahres (Kombination aus Wetter, Schulden und gebrochenen Vorsätzen).","false","{""month"": 1, ""occurrence"": [3], ""day_of_week"": ""Monday""}","INT","2026-01-14 17:58:06.205698+01"
"Inauguration Day","Tag der feierlichen Amtseinführung des US-Präsidenten vor dem Kapitol in Washington D.C.","false","{""day"": 20, ""month"": 1, ""year_interval"": 4}","US","2026-01-14 17:59:19.303158+01"
"Ehrentag der Pinguine","Aktionstag zur Sensibilisierung für den Schutz der flugunfähigen Seevögel und deren bedrohten Lebensraum.","true","{""day"": 20, ""month"": 1}","INT","2026-01-14 17:59:19.303158+01"
"Tag des Käseliebhabers","Kulinarischer Aktionstag, der die Vielfalt der Käsesorten weltweit feiert.","true","{""day"": 20, ""month"": 1}","INT","2026-01-14 17:59:19.303158+01"
"Gedenktag der Wannseekonferenz","Historischer Jahrestag: 1942 organisierten Nationalsozialisten in Berlin die systematische Deportation und Ermordung der europäischen Juden.","true","{""day"": 20, ""month"": 1}","DE","2026-01-14 17:59:19.303158+01"
"Tag der Kaffeepause","Ein Tag, um die Bedeutung kleiner Pausen im Arbeitsalltag und den Genuss von Kaffee zu würdigen.","true","{""day"": 20, ""month"": 1}","US","2026-01-14 17:59:19.303158+01"
"Weltknuddeltag","1986 von Kevin Zaborney initiiert, um Menschen zu ermutigen, ihren Mitmenschen öfter eine Umarmung zu schenken.","true","{""day"": 21, ""month"": 1}","INT","2026-01-14 17:59:43.001516+01"
"Internationaler Tag der Jogginghose","Ein Aktionstag, an dem das gemütliche Kleidungsstück im Alltag (und teils im Büro) stolz präsentiert wird.","true","{""day"": 21, ""month"": 1}","INT","2026-01-14 17:59:43.001516+01"
"Todestag von Wladimir Lenin","Historischer Jahrestag: 1924 starb der Begründer der Sowjetunion, was massive politische Umbrüche einleitete.","true","{""day"": 21, ""month"": 1}","INT","2026-01-14 17:59:43.001516+01"
"Tag der Akzentzeichen","Ein Tag zur Feier der sprachlichen Vielfalt und der korrekten Verwendung von Diakritika wie é, à oder ö.","true","{""day"": 21, ""month"": 1}","UK","2026-01-14 17:59:43.001516+01"
"Eichhörnchen-Tag","Von der Wildtierbiologin Christy McKeown ins Leben gerufen, um auf die possierlichen Nager und ihre Futterstellen im Winter hinzuweisen.","true","{""day"": 21, ""month"": 1}","US","2026-01-14 17:59:43.001516+01"
"Deutsch-Französischer Tag","Erinnert an die Unterzeichnung des Élysée-Vertrags 1963 durch De Gaulle und Adenauer zur Besiegelung der Freundschaft.","true","{""day"": 22, ""month"": 1}","DE","2026-01-14 18:00:14.405258+01"
"Wellington Anniversary Day","Regionalfeiertag in der Region Wellington zur Erinnerung an die frühe europäische Besiedlung.","false","{""month"": 1, ""day_of_week"": ""Monday"", ""proximity_to"": 22}","NZ","2026-01-14 18:00:14.405258+01"
"Tag der scharfen Sauce","Ein kulinarischer Aktionstag für Fans von Tabasco, Sriracha und Co., um die Vielfalt feuriger Würzsaucen zu feiern.","true","{""day"": 22, ""month"": 1}","INT","2026-01-14 18:00:14.405258+01"
"Tag der Einheit der Ukraine","Feiert die Vereinigung der Ukrainischen Volksrepublik und der Westukrainischen Volksrepublik im Jahr 1919.","true","{""day"": 22, ""month"": 1}","UA","2026-01-14 18:00:14.405258+01"
"Lessing-Geburtstag","Geburtstag des bedeutenden deutschen Dichters der Aufklärung (1729), bekannt für ""Nathan der Weise"".","true","{""day"": 22, ""month"": 1}","DE","2026-01-14 18:00:14.405258+01"
"Tag der Handschrift","Gedenktag am Geburtstag von John Hancock, um die Bedeutung des Schreibens mit der Hand im digitalen Zeitalter zu würdigen.","true","{""day"": 23, ""month"": 1}","INT","2026-01-14 18:00:37.061478+01"
"Tag des Kuchens","Ein kulinarischer Aktionstag (nicht zu verwechseln mit dem Pi-Tag im März), der dem Genuss von gebackenen Pies und Kuchen gewidmet ist.","true","{""day"": 23, ""month"": 1}","US","2026-01-14 18:00:37.061478+01"
"Édouard-Manet-Tag","Geburtstag des französischen Malers (1832), der als einer der Wegbereiter der modernen Malerei und des Impressionismus gilt.","true","{""day"": 23, ""month"": 1}","INT","2026-01-14 18:00:37.061478+01"
"Netzsicherheitstag","Ein Tag zur Sensibilisierung für Datensicherheit und den Schutz der Privatsphäre im Internet.","true","{""day"": 23, ""month"": 1}","INT","2026-01-14 18:00:37.061478+01"
"Wellington-Tag","Offizieller Jahrestag der Gründung der Provinz Wellington (1840).","true","{""day"": 23, ""month"": 1}","NZ","2026-01-14 18:00:37.061478+01"
"Internationaler Tag der Bildung","Von der UN proklamierter Tag zur Feier der Rolle der Bildung für Frieden und Entwicklung.","true","{""day"": 24, ""month"": 1}","INT","2026-01-14 18:01:07.912113+01"
